text,daya_tarik,amenitas,aksesibilitas,citra,harga,sdm
Sangat menghibur pas buat klrga,none,none,none,positif,none,none
Sangat menyenangkan berkunjung ke pumti kayu.,none,none,none,positif,none,none
Sangat menyenangkan jika Anda merindukan hutan dan hewan-hewannya,positif,none,none,positif,none,none
Sangat menyenangkan melihat alam dan menikmati piknik bersama keluarga,positif,none,none,positif,none,none
Sangat menyukainya,none,none,none,positif,none,none
Sangat mnghibur di waktu libur,none,none,none,positif,none,none
sangat pesat perkembangaya supaya di tambah lagi wahanaya,netral,none,none,netral,none,none
"sangat sedikit sekali binatang peliharaan disana yg dilindungi, seperti badak bercula satu, gajah yg lengkap dgn gadingnya, beruk (orang utans)",negatif,none,none,none,none,none
"Sangat sejuk dan nyaman kalau kesitu,apalagi kalau lagi banyak pikiran ,hemmm stres pun hilang ☺️",none,none,none,positif,none,none
sangat seru dn tenang skli..😊😊😊😘😘 …,none,none,none,positif,none,none
Sangat tidak terawat dan kotor,none,none,none,negatif,none,none
sangat tidak terurus,none,none,none,negatif,none,none
"Sangat tidak terurus,fasilitas yg ada layak untuk di perbaiki secepatnya",none,negatif,none,negatif,none,none
Sangatlah bagus,none,none,none,positif,none,none
sanitasi dan tempat istirahat yg belum memadai,none,negatif,none,none,none,none
Santai saja,none,none,none,none,none,none
Santai sama keluarga,none,none,none,none,none,none
"Saran untuk diperbanyak sarana pengunjung untuk beraktifitas, bukan hanya viewing dan selfie. Mungkin bisa ditambahkan area untuk perikanan / taman , dan bisa dijadikan …",negatif,none,none,none,none,none
"sarana mengelilingi semua arena, ada spot poto2 berupa miniatur bangunan bersejarah, pepohonan yang rindang bisa juga sebagai latar poto, kalau ajak keluarga bisa bawa makanan dari rumah, bawa alas tikar untuk wisata dengan konsep piknik alam",positif,none,none,none,none,none
Satu satunya hutan kota Palembang. Agar lebih dirawat dan dipromosikan apalagi sudah ada LRT,none,none,none,negatif,none,none
satu satunya hutan wisata di dalam kota Palembang. Lumayan menarik buat refreshing..foto foto bersama sahabat dan keluarga .bahkan cocok buat foto foto preweddung outdoor. banyak pohon pinus tinggi tinggi layaknya di film. terletak di sekitar wilayah kilometer 6.5 Palembang. sebelah kiri jalan (kalo kita datang dari arah jalan tengah kota Ampera),positif,none,none,positif,none,none
"Satu satunya hutan wisata terbesar di jantung Kota Palembang, dipenuhi hutan pinus yang rindang dan beberapa wahana permainan juga koleksi kebun binatang.",positif,none,none,positif,none,none
"Satu""nya hutan yang berada di tengah kota, lokasinya strategis, fasilitas lengkap. Rekomendasi untuk tmpt piknik",none,positif,positif,positif,none,none
"Satu2 nya lokadi wisata alam ditengah kota, moga ttp terjaga, sbg paru2 kota, jgn sampe tegusur pembangunan kota",none,none,none,positif,none,none
"Satu2nya hutan di tengah kota Palembang, oke. Tpi kalau d hidupkan kembali kebun binatang nya bisa luar biasa ini",none,none,none,positif,none,none
Satu2nya taman kota dikota palembang. Walaupun sedari dulu tidak banyak perubahan dan konsep,none,none,none,netral,none,none
Satu-satuny taman kota d palembang . .,none,none,none,netral,none,none
Satu-satunya di palembang,none,none,none,netral,none,none
"Satu-satunya hutan kota yg sangat rindang dan terjaga di Palembang Tempat wisata yg bagus,lebih bisa ditingkatkan lagi lah untuk pelayanannya",none,none,none,netral,none,none
Satu-satunya Hutan pinusdi tengah kota..😍 …,none,none,none,netral,none,none
Satu-satunya hutan wisata yang ada di kota Palembang... Hampir semua pohon yang ada dalam di tempat ini adalah pohon Pinus... Menyejukkan ketika awal masuk tempat ini bila berkunjung di pagi hari... Jarak masuk tempat ini hingga ke dalam cukup jauh bila dengan jalan kaki... Untungnya mobil dan motor diperbolehkan masuk sampai ke dalam... Untuk harga tiket masuk dihitung per orang sepuluh ribu bila di hari biasa... Namun untuk hari Minggu dan libur nasional 12500... Itu belum termasuk tiket masuk kendaraan dan parkir... Cuma agak disayangkan dengan kebersihan di dalam... Mungkin karena kurang kesadaran pengunjung untuk membuang sampah pada tempatnya... Ini juga ada kekurangan dari pihak pengelola yang tidak cukup banyak menyediakan kotak sampah... Satu hal lagi hewan yang ada di dalam wahana burungnya kurang banyak... Kalo bisa ditambah lagi koleksinya... Tempat ini memang cocok sih untuk bersantai dan piknik bersama keluarga...,negatif,netral,positif,netral,netral,none
"Satu-satunya hutan yang berada di tengah-tengah pusat kota , yang menyediakan taman-taman dan hewan-hewan dan hiburan laennya.",netral,none,none,netral,none,none
"Satu-satunya Taman Hutan Kota di Palembang. Sebuah tempat bagus untuk rekreasi keluarga, udara segar dan banyak wahana baru. Tinggal kebersihannya yang harus ditingkatkan, harus dijaga, termasuk pengunjung harus menjaga kebersihannya juga.",positif,none,none,netral,none,none
"Satu-satunya tempat seru di sini adalah area outbound. Tidak menyangka kita harus membayar untuk masuk ke setiap areanya. Sepertinya kurang terurus, banyak sampah berserakan. Sulit untuk mengambil foto yang bagus karena banyaknya sampah.",positif,none,none,negatif,none,none
Satwa dan hewan peliharaannya kurang Banyak,negatif,none,none,none,none,none
Satwa nya agak berkurang dri thun lalu,negatif,none,none,none,none,none
Satwanya semakin sedikit. Pinus banyak yg mati. Semakin di ubah ke arah tempat foto2. sebaiknya jumlah satwanya di tingkatkan.,negatif,none,none,none,none,none
Saya berharap kepada pihak yang mengelola taman wisata punti kayu lebih memperhatikan kesehatan hewan-hewan yg ada di sana. Terlihat dari kondisi mereka disana seperti hewan yang tidak di pelihara dengan baik. Semoga pihak terkait bisa lebih baik dalam mengelola tempat tersebut.,negatif,none,none,negatif,none,none
"Saya di wisata yang bernama:(punty kayu) Sangat mengagumi buat saya liburan tahun baru 2020 Smoga Th ke dpn nya mangkin lebik baik lagi, &Mura Rezeki..&Smoga Tercapai cita² Amin...🤔. …",none,none,none,positif,none,none
"Saya kasih bintang 4 karena tempatnya sudah mulai banyak sampah, selain itu untuk binatangnya juga tidak terlalu banyak lagi, kebanyakan sudah diganti dengan patung batu",negatif,none,none,negatif,none,none
Saya menyukai tempat Ini karena udaranya masi asri... dan tempat nambah ilmu pengetahuan bagi anak... karena tmpt bermainnya iTunes sipatnya mendidik bagus sekali untuk pelajar TK. SD. SMP,positif,none,none,positif,none,none
Saya pernah kesitu,none,none,none,none,none,none
"Saya pikir itu kebun binatang, tapi saya melihat banyak monyet. Ini bukan tempat untuk jalan-jalan, tapi tempat untuk istirahat sejenak~~ Anda bisa datang dengan LRT",netral,none,netral,netral,none,none
"Saya sangat senang liburan ke punti Kayu Kalau sehari itu kurang puas rasanya pengen ngulang lagi agar tau semua kondisinya apalagi rame2 itu enak banget lho gaes, cuma mungkin punti Kayu nya belum di perbaharui lagi, saran saya punti kayunya di perbaharui lagi aja iar tambah bikin saya kelepek2 lagi, terimakasih punti Kayu kesannya banyak",none,none,none,netral,none,none
Saya sering berkunjung di sini bersama keluarga,none,none,none,positif,none,none
"Saya sering mengunjungi lokasi ini untuk bersantai mengajak keluarga, selain harga tiket murah, taman wisata punti kayu juga terkenal nyaman. So guys.. Kalau kamu berada dipalembang jangan lupa mampir untuk berkunjung disini.",none,none,none,positif,positif,none
Saya sudah kesana,none,none,none,none,none,none
Saya suka beli yg produk ori yg resmi.,none,none,none,none,none,none
Saya tidak akan merekomendasikan tempat ini untuk dikunjungi,none,none,none,negatif,none,none
saya tidak suka,none,none,none,negatif,none,none
Sayang banget ada ecogreen di kota tp kurang inovatif,none,none,none,negatif,none,none
"Sayang banget rasanya pas ngeliat kondisinya sekarang, mungkin seiring berkurang minat orang untuk berkunjung berkurang pula perawatannya. Padahal disaat liburan biasanya rame, apalagi seperti saya yang berkunjung juga karena teringat masa kecil. Dulu nggak banyak tempat wisata yang bisa dikunjungi, tapi di punti kayu bukan hanya sekedar liburan tetapi bisa sambil belajar.",none,none,none,negatif,none,none
Sayang bgt ga ada lagi hewan2 nya kecuali monkey,negatif,none,none,none,none,none
"Sayang hutan wisata tengah kota ini, kurang diperhatikan secara serius oleh pemerintah. Padahal menjadi satu-satunya andalan wisata alam di kota Palembang. Semoga kedepannya ada perbaikan 😫 …",none,none,none,negatif,none,none
"Sayang kurang terawat, fasilitas minim, toiletnya ya gitu deh",none,negatif,none,negatif,none,none
"Sayang sekali kurang terawat Banyak nyamuk Kalau diperbaiki dan dirawat dengan baik, ada baiknya membawa keluarga ke sini Daripada langsung ke mall",none,none,none,negatif,none,none
"Sayang sekali makin hari satwa ny makin berkurang, kalau dikelolah lebih serius lg maka pasti ramai dikunjungi",negatif,none,none,negatif,none,none
"Sayang sekali perawatannya kurang, pdhal satu2nya kebun binatang di palembang",none,none,none,negatif,none,none
"Sayang sekali sudah tidak terawat lagi,, terkesan amburadul,,",none,none,none,negatif,none,none
Sayang sekali taman wisata ini tidak terawat... Dari luar seperti tempat ternak kambing,none,none,none,negatif,none,none
"Sayang sekali, gajah & Harimau nya udh gk ada..... Padahal menurut ku itu yg menjadi penari bagi wisatawan untuk mengunjungi tempat ini, tapi setidaknya didalam juga menyediakan permainan yg cukup menarik dan cocok untuk keluarga, hunting sama kawan, dan paling penting cocok untuk kalian yg mau ngajak si doi..... 🤣🤣🤣🤣 …",netral,none,none,netral,none,none
"Sayang sekali, kurang terawat lokasinya.",none,none,none,negatif,none,none
Sayang sekarang gak ke urus,none,none,none,negatif,none,none
"Sayang tempat ini ga dikelola dgn baik, banyak sampah, pengunjung jorok, toilet pesing. Miris liat mini zoonya, kandang kotor, hewan gedenya cuma patung",negatif,negatif,none,negatif,none,none
Sayang tempat waterparknya kurang terawat... Padahal lokasi bagus di tengah kota dan padat penduduk.. Klu boleh usul.... Buat waterpark nya.... Pakai pintu belakang saja.... Jd nggak perlu jauh ke ujung kku lewat pintu utama... Soal harga tiket kan bisa di kondisikan,negatif,none,netral,none,none,none
Sayang.. kurang terawat,none,none,none,negatif,none,none
"Sayangnya banyak area yg kurang terawat. Alangkah baiknya kalau semua area terawat, bersih, taman tertata rapi dan cantik. Tentunya dapat menjadi salah satu icon kota Palembang seperti halnya Kebun Raya Bogor",none,none,none,negatif,none,none
Sayangnya tempatnya sepertinya kurang terawat. Di dalamnya banyak air kotor yang menggenang. Meski di depan pintu masuk sudah beli tiket tp ternyata tidak semua wahana/tempat bebas untuk dikunjungi. Untuk masuk ke beberapa zona harus bayar tiket lagi untuk masuk,none,none,none,negatif,negatif,none
"Sayangnya, kawasan ini masih sangat alami sehingga tidak terawat dengan baik",none,none,none,negatif,none,none
Sdh banyak yg berkurang binatang2 disanah,negatif,none,none,none,none,none
Sdh beda dgn 10thn yg lalu... lbh baik lg dan lbh rame,none,none,none,positif,none,none
Sdh byk perubahan terdpt berbagai akses poto miniatur2 cantik,positif,none,none,positif,none,none
Sebagai sarana hiburan keluarga dan menjadi penambah wawasan akan pengetahuan alam,none,none,none,netral,none,none
"Sebagai taman wisata alam di pusat kota Palembang, seharus nya tempat wisata ini menjadi alternatif tempat liburan yang menyenangkan bagi masyarakat kota Palembang..",none,none,none,netral,none,none
"Sebagai tempat rekreasi wisata alam yang dulu sebagai kebun binatang ternyata satwa binatang yang dipelihara dikelola punti kayu sdh punah semua tinggal hewan ternak sj ayam, burung dan kalkun sj dan jg fasilitas wisata alamnya msh sngat tdk layak untuk wisata alam, smoga kedepannya kalau pengelola tdk sanggup berinovasi cb ganti pihak manajemen yg lebih profesional atau pihak swasta..pemerintah dsna cenderung tutup mata padahal bs menambah PAD daerah tsb. ORP 04.06.23",negatif,negatif,none,negatif,none,none
Sebenarnya bagus. Tapi sudah lama tidak terawat. Banyak yg terbengkalai.,none,none,none,negatif,none,none
Sebenarnya bila dikelola dengan baik akan lebih banyak pengunjung kesni. Tpi entah mengapa seperti setngah hati. Padahal modal utama yg paling besar adalah karna lokasinya berada ditengh kota.. kasih hewan2 yg membuat nilai tambh dri lokasi ini. Biar kita kash bintang 5,negatif,none,netral,negatif,none,none
Sebenarnya ini adalah hutan kota. Anda dapat melihat monyet di sini dan beberapa binatang di kebun binatang kecil. Dan sebaiknya Anda membawa bekal makan siang Anda sendiri. Dan ya..Anda dapat membawa anak-anak Anda ke sini.. nikmatilah!,netral,none,none,netral,none,none
sebenernya bagus kalau rapih krn banyak pohon adem buat kota palembang yg agak panas.. sayangnya kurang rapih blm semua di bata blok jd licin kalau hujan,positif,negatif,none,netral,none,none
"sebenernya nyaman banget ya buat rekreasi keluarga, tapi kok ya masih banyak sampah padahal petugas kebersihannya keliling keliling ya",none,none,none,netral,none,none
"Sebenernya punti kayu bisa jadi destinasi wisata yang keren, andai dikelola dengan baik. Hutan pinus di tengah kota, bayangkan, kota palembang yang lebih didominasi cuaca panas terik, tapi masih punya wisata hutan pinus ditengah kotanya. Andai dikelola dengan baik, dirawat dan ditambah fasilitasnya sesuai kebutuhan (ex ada lintasan bersepeda dll), pasti jadi tempat wisata favorite dan bisa jadi tempat wisata yang komplit.",netral,none,none,netral,none,none
"Sebenernya tempat wisata yang bagus ditengah kota, namun kurang terawat, banyak wahana yang rusak, area hutan yang tidak terawat dan terlihat semak semak yang kurang rapi, hewan hewan juga terlihat kurang terawat... Kurang recommended...",negatif,none,none,negatif,none,none
"Sebuah kawasan konservasi berupa Taman Wisata Alam di tengah kota Palembang. Luas kurang lebih 50 Ha. Aksesnya mudah, dapat dicapai menggunakan LRT. Tempatnya sejuk, banyak pohon-pohon besar, terutama pinus. cocok untuk bersantai, ngecamp, dll. Minus : Banyak wahana permainan yang sudah kurang terawat. Bilik-bilik hewan kebanyakan kosong, mayoritas berisi ayam. Ada patung hewan yang dikandangi (terkesan aneh hahaha)",negatif,none,positif,netral,none,none
Sebuah taman di kota palembang..,none,none,none,netral,none,none
"Sebuah taman di tengah kota Palembang. Sangat ramai terutama di hari-hari raya dan libur panjang. Tempatnya asri dan sejuk. Cocok untuk sejenak melarikan diri dari hingar bingar kota. Selain dari pepohonan dan taman, ada juga koleksi beberapa satwa dan sebuah taman hiburan permainan.",positif,none,none,positif,none,none
Sedih melihat kondisinya,none,none,none,negatif,none,none
Sedikit ada perubahan tapi monyetnya nakal2,negatif,none,none,netral,none,none
"Sedikit kecewa karena banyak kandang satwa yang tidak terawat bahkan tidak ada penghuninya, minim pekerja untuk area yang sangat luas, seharusnya Pemda bisa lebih memperhatikan salah satu icon wisata kota Palembang ini, dari segi harga pun kurang cocok di kantong pelajar karena didalam pun masih ada pembayaran tiket masuk untuk beberapa bagian.",negatif,none,none,negatif,negatif,negatif
"sedikit satwa,,lbih baik gx usah datang",negatif,none,none,negatif,none,none
sedikit...meh. tapi masih merupakan tempat yang bagus untuk setidaknya menyentuh rumput daripada hanya mengunci diri di kamar,none,none,none,positif,none,none
Segar,none,none,none,positif,none,none
seger,none,none,none,positif,none,none
Seger refreshing banyak oksigen,none,none,none,positif,none,none
Seger...,none,none,none,positif,none,none
"Seharusnya menjadi tempat yang bagus untuk berkumpul dan menyegarkan diri bersama keluarga. Ini satu-satunya di kota, terletak di pusat kota, tempat bermain yang luas, dengan tempat parkir yang luas. Kurangnya staf dan cerobohnya manajemen. Oke sekali kunjungannya, setidaknya sudah ke sini bersama anak-anak saya.",positif,positif,netral,netral,none,negatif
Sejuk,none,none,none,positif,none,none
Sejuk dan asri,none,none,none,positif,none,none
"Sejuk dan bagus tapi uang masuknya lumayan besar, disarankan membawa losion anti nyamuk, sangat bagus untuk acara keluarga dan reuni, banyak kera berkliaran ada kebun bintang, miniatur landmark dunia (menara doyong, menara eifel dll) #ongooglemaps",positif,none,none,positif,negatif,none
Sejuk dan masih alami,none,none,none,positif,none,none
Sejuk dan menyenangkan untuk liburan,none,none,none,positif,none,none
Sejuk dan nyaman,none,none,none,positif,none,none
Sejuk dan teduh,none,none,none,positif,none,none
Sejuk enak buat rekreasi keluarga..d jaga lg kebersihan t4nya,none,none,none,netral,none,none
"Sejuk hijau , perlu di tingkatkan kebersihan dan kreatifitasnya.. Dan menjaga/memelihara..",none,none,none,netral,none,none
"Sejuk, bersih dan nyaman",none,none,none,positif,none,none
"Sejuk, nyaman seperti suasana di perdesaan dan hutan",none,none,none,positif,none,none
"Sejuk, taman alam wisata",none,none,none,positif,none,none
"Sejuk, tolong tiketnya lebih terjangkau",none,none,none,positif,negatif,none
Sejuk. Udara segar bisa tempat liburan keluarga,none,none,none,positif,none,none
Sejuk.... Ada hutan ditengah kota...,netral,none,none,none,none,none
sejuk...tapi tempatnya kurang terjaga dari segi permainan nya,negatif,none,none,negatif,none,none
Sekarang bnyak wahana baru.. Recomended deh skrg,positif,none,none,positif,none,none
Sekarang buka gak wisata punti kayu,none,none,none,none,none,none
Sekarang kurang terawat,none,none,none,negatif,none,none
"Sekarang Punti Kayu kurang menarik karena tidak ada hewan kayak Harimau, Singa, Beruang, Buaya, Macan",negatif,none,none,negatif,none,none
sekarang sudah rapi,none,none,none,positif,none,none
Sekarang tempat rekreasi nya sudah cukup bagus tapi masih bagus taman wisata alam seperti di kota kota lain,none,none,none,netral,none,none
"Sekarang udah banyak inovasi baru. Ada coffee shop, ada wisata off road. Untuk harga menurutku sih agak kemahalan.",positif,positif,none,positif,negatif,none
Sekolah Kita,none,none,none,none,none,none
Selain bisa menghirup udara segar karena masih asri ditengah penatnya kemacetan kota dan polusi kendaraan/pabrik tentu saja bisa menjadi tempat edukasi buat anak2,none,none,none,positif,none,none
selamat tinggal,none,none,none,none,none,none
"Semakin banyak inovasi untuk taman wisata ini, sangat recomended buat destinasi wisata alam di tengah kota Palembang",none,none,none,positif,none,none
Semakin hari semakin terdebest wisata alam ini,none,none,none,positif,none,none
Semakin membaik dan bagus 👍👍👍 …,none,none,none,positif,none,none
"semakin mengikuti zaman.... tetapi pintu gerbang harusnya ada perbaikan, sebagai penarik pengunjung",none,none,none,netral,none,none
Semakin sejuk dan banyak wahana baru,positif,none,none,positif,none,none
Semakin tidak berkembang,none,none,none,negatif,none,none
"Semiga lebih tertata lagi, dan fasilitasnya ditambah.",none,netral,none,netral,none,none
Semoga bisa di rawat lebih baik lg sih,none,none,none,netral,none,none
Semoga bisa dilestarikan Dan sangat disarankan pakai helm safety,none,none,none,netral,none,none
Semoga dengan berkunjungnya presiden jokowi beberapa hari yang lalu kondisi punti kayu mengalami pembenahan yg signifikan,none,none,none,netral,none,none
Semoga sukses TWA Punkay,none,none,none,none,none,none
Semoga terus serius merawatnya dan bertambah fasilitasnya,none,netral,none,netral,none,none
Sempet kaget karena harga tiket masuk perorang rp 30000 + rp 5000 parkir...jd artinya kita bs masuk dan bs foto2 tanpa hrs byr lg...tp kemahalan menurut saya..buat masyarakat kecil..mohon dikaji ulang dgn harga segitu..terimakasih..,none,none,none,none,negatif,none
semua serba bayar,none,none,none,none,negatif,none
Senam pagi 2022 di kambang iwak Palembang,none,none,none,none,none,none
Senang berada disini. Bisa selfie cantik. Background alami. 😊 …,positif,none,none,positif,none,none
Senang dan seru,none,none,none,positif,none,none
Senang menjelajahi taman ini,none,none,none,positif,none,none
Senang pergi piknik bersama keluarga,none,none,none,positif,none,none
Senang sekali bisa berfoto di sini,none,none,none,positif,none,none
Senang tanpa harus jauh jauh untuk menikmati suasana alam,none,none,none,positif,none,none
Sepanjang terus dibenahi ini objek wisata akan menjadi icon Kota Palembang,none,none,none,netral,none,none
"Seperti biasanya sih,punti kayu yah kayak gitu gitu aja..kesini kemaren cuman pengen lihat yang hijau²an.",none,none,none,netral,none,none
Seperti hutan,none,none,none,netral,none,none
"Seperti sdh tdk terawat, sepi, Tapi lumayan jika ingin wisata dgn suasana hutan kesini boleh juga.",none,none,none,netral,none,none
"Sepertinya ini satu2nya taman wisata alam di Kota Palembang, namun sayang agak kurang dikelola dengan baik. …",none,none,none,negatif,none,none
Sepertinya sudah banyak yang harus diperbaiki fadilitas di sini.,none,negatif,none,negatif,none,none
Sepertinya taman ini baru tutup lama,none,none,none,negatif,none,none
Sepi,none,none,none,negatif,none,none
Sepi banget sesepi hati😂😂 …,none,none,none,negatif,none,none
Sepi hewannya,negatif,none,none,none,none,none
Sepi krn msh masa dirumah saja corona,none,none,none,negatif,none,none
Sepi kurang hewan nya...,negatif,none,none,negatif,none,none
Sepi pengunjung.,none,none,none,negatif,none,none
Sepi..klo mw cri udara seger dimari aj,none,none,none,positif,none,none
"Seriously harga tiket 35 ribu per orang dengan kondisi puntikayu yg seperti ini? Not recommended buat jalan dengan keluarga, entah kalo buat orang pacaran.",none,none,none,negatif,negatif,none
Seru abis,none,none,none,positif,none,none
seru bgt buat jalan sm keluarga!👌 good view! ada mini zoo nya juga ada kuda lucuuuu😍 …,positif,none,none,positif,none,none
Seru dan alami bgtttt,none,none,none,positif,none,none
Seru sekali,none,none,none,positif,none,none
Seru seruan 17 agustus 2019 with PT sinar musi cemerang (ocean springbed,none,none,none,positif,none,none
"Sesekali refreshing sama keluarga , tempat nya sejuk , rindang , bersih , udara nya segar , anak2 suka tempat wisata PUNTI KAYU , murah dan akses nya mudah",none,none,positif,positif,positif,none
Setelah 45 thn baru skrng bisa masuk punti kayu,none,none,none,none,none,none
"setelah lama tidak berkunjung selama pandemi, pas rekreasi ke sana melihat taman hutan ini kaget karena semakin tidak terawat, beda dengan 5 tahun yang lalu, banyak sarana di dalam taman ini rusak, kotor, banyak nyamuk, banyak sampah, banyak tumbuh tanaman liar, tempat kebun binatang tidak lagi hanya tersisa patung² saja, ..sangat di sayangkan wisata hutan satu-satunya di tengah kota palembang tidak ada diperhatikan oleh pemerintah setempat..",negatif,negatif,none,negatif,none,none
"Setiap tempat yang kita masuki memaksa kita untuk membayar, meskipun kita sudah membayar untuk masuk.",none,none,none,none,negatif,none
Setidaknya ada tempat liburan di palembang,none,none,none,netral,none,none
Setidaknya....,none,none,none,none,none,none
"Siapa bilang ke Punti Kayu alay...Klo kalian org palembang tpi ga pernah kesini,berarti kalian blm jd Wong Plembang. Klo mau menghindari keramaian kota dan mencari ketenangan,kesini aja deh...",none,none,none,positif,none,none
Sip,none,none,none,none,none,none
Sip...,none,none,none,none,none,none
Sipp,none,none,none,none,none,none
"Situs ini adalah tempat yang bagus untuk berkumpul bersama keluarga Anda. Tempat ini mempunyai kebun binatang yang kecil namun sayangnya pemerintah daerah kurang berminat untuk merawat tempat ini. Tiket masuk ke situs ini terlalu mahal dibandingkan dengan hewan yang ada di kebun binatang. Kebun binatang ini hanya mempunyai beberapa binatang yang biasa kita lihat, seperti kucing, merpati, ayam dan lain-lain. Tidak ada harimau, buaya atau binatang langka lainnya yang kita kenal di kebun binatang yang selalu menyediakan. Yang paling lucu harimau sumatera diganti dengan patung harimau senyum hahaha",negatif,none,none,netral,negatif,none
situs yang bagus untuk pecinta selfie tempat yang bagus untuk berkumpul atau outbond,none,none,none,positif,none,none
"Skr udh mulai rame, karena byk tempat instagramable.. Klo dulu mah boro"" buat masuk.. Ksini dl bgt pas jaman masih kecil masih SD dan sampe skr blm pernah ksana lg 😂 hahaha next time lah …",positif,none,none,positif,none,none
Slalu lewat,none,none,none,none,none,none
Smua tempt permainan ank hancur tk terawat,negatif,none,none,none,none,none
Soal tiket masuk berkali2 di tagih,none,none,none,negatif,none,none
Sparepart lengkap dan murah,none,none,none,none,none,none
"Sperti hutan wisata lah Ada banyak pohon. Sebenarnya ditengah kota sih ini, lumayan buat refreshing dri penatnya kota walaupun keluar gerbangnya bisa jd ktemu jalanan macet lagi. Ada gazebo dan spot untuk besantai dan berfoto. Untuk piknik santai, hunting foto nature, sampe prewed juga silahken. Ada banyak monyet liar disini, jaga barang2 dan jangan iseng gangguin/kasih makan monyet. Ga lucu digigit monyet, dan monyet liar bisa saja rabies ehehehe just don't do anything stupid.",netral,netral,none,netral,none,none
Spot foto keren,positif,none,none,none,none,none
Spot foto terbaik,positif,none,none,none,none,none
Spot poto yang menyatu dengan alam🤗 …,positif,none,none,none,none,none
Suasana alam yang menyenangkan namun butuh banyak pengembangan,none,none,none,netral,none,none
Suasana alami dan hijau,none,none,none,positif,none,none
Suasana asri,none,none,none,positif,none,none
"Suasana asri, bagus buat foto""",none,none,none,positif,none,none
"Suasana asri, syang tempt permainan anaknya bnyak sudah tidak aktiv",negatif,none,none,positif,none,none
Suasana Bersih sejuk adem ditengah kota yang panas terik untuk sebentar menghilangkan penat....,none,none,none,positif,none,none
"Suasana di taman ini sangat sejuk, penuh hutan Pinus yg lebat, hewan di taman ini termasuk lengkap. Satu Masalah yang mencolok ialah masalah management baik untuk perawatan kawasan taman, perawatan hewan serta perawatan fasilitas. Disini terdapat parkir mobil dan motor yg luas, cocok untuk rekreasi keluarga di akhir pekan",positif,positif,none,netral,none,none
Suasana hutan yang baik namuk byk fasilitas yg perlu diperbaiki lagi,none,negatif,none,netral,none,none
Suasana kayu pinus,none,none,none,positif,none,none
Suasana masih asri..,none,none,none,positif,none,none
"Suasana nya sejuk, mantappp bnyk pohon pinus",positif,none,none,positif,none,none
"Suasana nya sih nyaman sejuk tp kurang perawatan,,",none,none,none,netral,none,none
Suasana santai untuk bersantai,none,none,none,positif,none,none
Suasana yang masih asri.....,none,none,none,positif,none,none
"Suasana yang nyaman untuk isi liburan bersama keluarga. Taman dengan arena bermain dan ragam satwa ini sangat mudah dijangkau karena lokasinya yang berada di tengah kota Palembang. Suasana hutan wisata buatan ini cukup nyaman, cukup bagus jika dijadikan spot foto, sekarang dengan pengelolaannya seperti sekarang menjadikan Taman Punti Kayu lebih bersih, lebih tertata dan rapi. Arena bermain outbound tidak hanya untuk orang dewasa, untuk anak-anak pun tersedia, mudah-mudahan ke depannya Taman Punti Kayu ini semakin bertambah satwa nya, arena bermain semakin beragam, dan tenaga kerja yang lebih profesional dalam bidangnya terutama dalam pelayanan.",positif,none,positif,positif,none,positif
"Suasananya alami,,,membuat kita betah di sana,,,dan ada juga banyak wahananya",positif,none,none,positif,none,none
"Suasananya asyik,,, enak bngt buat santai sambil memanjakan mata, tp sayang ada sebagian replika yang gak terawat....dan pedagang makanannya cuma sedikit, gk ada pilihan",negatif,negatif,none,netral,none,none
Suasananya enak kayak di Bogor walaupun byk monyet² yg berkeliaran Ada tempat ngopi yg kekinian makanya jadi enak jg buat nongkrong serta banyak wahana utk anak² bermain dan foto²,positif,positif,none,positif,none,none
Suasananya indah,none,none,none,positif,none,none
Suasananya kurang nyaman. Hewannya juga kurang menarik,negatif,none,none,negatif,none,none
"Suasananya nyaman+asri.. Kalo yang suka alam, berasa tenang banget di sini, baca buku nikmati angin, alamnya masih rindang, dll.. Cuma memang sayang sekali cukup banyak fasilitas yg uda rusak atau tidak terurus dengan baik, misalnya mini zoo-nya, tempat duduk dll . Sama masih banyak juga monyet berkeliaran, jd harus selalu waspada..",negatif,negatif,none,netral,none,none
"Suasananya sejuk kayak di kebun raya Bogor. Ke sini cuma sebentar sih, karna sepi bangeet. Mungkin bisa dibanyakin lagi wahananya biar rame.",negatif,none,none,netral,none,none
Sudah ada perbaikan dalam pengelolaan wisata alam punti kayu dan cukup baik untuk wisata keluarga,none,none,none,positif,none,none
"Sudah ada sejak masih SD. Punti kayu nama tempat wisata alam yang berada di Km.6 Palembang, artinya 6 km jaraknya dari jembatan Ampera. Kebanyakan pengunjung ingin menikmati rindangnya hutan pinus yang sejuk dan alami. Pengunjung berasal dari kota Palembang itu sendiri maupun dari luar kota Palembang.",positif,none,none,positif,none,none
Sudah bagus,none,none,none,positif,none,none
"Sudah baik, tinggal penambahan tempat parkir bus dan per mainan untuk anak.",netral,netral,none,positif,none,none
Sudah banyak kerusakan yang tidak di perbaiki,none,none,none,negatif,none,none
Sudah banyak penambahan tempat baru,positif,none,none,none,none,none
Sudah banyak perubahan..yang pasti semakin bagus..😍😍👍 …,none,none,none,positif,none,none
Sudah banyak spot utk berfoto...,positif,none,none,none,none,none
Sudah berkembang,none,none,none,positif,none,none
"Sudah bnyak perubahan, tinggal di tingkatkan lagi",none,none,none,netral,none,none
sudah cukup bagus,none,none,none,positif,none,none
